ph,temperature,turbidity,fish
7.53,27.72,6.0,sing
7.63,28.15,6.67,sing
7.63,28.34,6.09,sing
7.63,27.91,6.05,sing
7.56,27.93,5.8,sing
7.6,28.69,5.53,sing
7.63,27.52,5.81,sing
7.65,28.02,5.68,sing
7.56,28.2,5.75,sing
7.61,28.01,5.77,sing
7.71,28.19,5.49,sing
7.61,27.8,6.07,sing
7.56,27.97,6.0,sing
7.64,27.64,5.83,sing
7.58,27.8,6.25,sing
7.62,27.62,6.08,sing
7.71,28.31,5.6,sing
7.58,28.38,5.76,sing
7.62,28.23,5.71,sing
7.6,27.03,5.7,sing
7.59,27.63,6.23,sing
7.53,27.87,5.93,sing
7.67,27.57,6.13,sing
7.6,27.71,5.99,sing
7.61,27.82,5.91,sing
7.58,28.03,6.03,sing
7.68,27.63,6.33,sing
7.5,27.95,6.02,sing
7.61,27.81,5.86,sing
7.58,27.82,6.07,sing
7.8,27.0,5.5,sing
7.82,26.79,5.68,sing
7.82,27.24,5.63,sing
7.76,26.83,5.65,sing
7.83,26.99,5.52,sing
7.86,26.82,5.61,sing
7.79,26.93,5.72,sing
7.84,27.24,5.76,sing
7.8,27.2,5.44,sing
7.82,26.96,5.52,sing
7.83,26.75,5.92,sing
7.75,26.64,5.73,sing
7.84,27.19,5.63,sing
7.8,26.73,5.52,sing
7.77,27.29,5.47,sing
7.76,26.9,5.58,sing
7.77,26.75,5.55,sing
7.81,26.85,5.41,sing
7.81,26.57,5.22,sing
7.76,26.94,5.56,sing
7.87,27.26,5.47,sing
7.8,26.7,5.5,sing
7.79,27.1,5.33,sing
7.83,27.46,5.48,sing
7.82,27.21,5.42,sing
7.81,27.0,5.52,sing
7.76,27.01,5.6,sing
7.87,27.29,5.93,sing
7.76,27.26,5.54,sing
7.91,26.76,5.33,sing
7.77,26.36,5.39,sing
7.76,27.05,5.57,sing
7.89,27.29,5.38,sing
7.76,27.15,5.24,sing
7.89,27.35,5.41,sing
7.71,27.41,5.48,sing
7.86,26.52,5.38,sing
7.8,27.01,5.41,sing
7.83,26.68,5.47,sing
7.81,27.15,5.64,sing
7.74,26.54,5.76,sing
7.82,26.78,5.81,sing
7.81,27.35,5.51,sing
7.9,27.53,5.45,sing
7.85,27.19,5.77,sing
7.75,27.21,5.71,sing
7.71,26.65,5.09,sing
7.79,27.22,5.8,sing
7.8,27.49,5.22,sing
7.71,26.98,5.58,sing
6.5,31.0,5.5,katla
6.5,30.38,5.48,katla
6.43,31.2,5.57,katla
6.45,30.85,5.29,katla
6.5,31.29,5.3,katla
6.53,30.84,5.34,katla
6.49,30.69,5.39,katla
6.44,31.59,5.51,katla
6.47,31.06,5.48,katla
6.49,31.18,5.65,katla
6.47,30.83,5.44,katla
6.38,30.55,5.77,katla
6.58,30.93,5.62,katla
6.52,31.92,5.72,katla
6.49,30.71,5.18,katla
6.51,30.77,5.22,katla
6.47,30.68,5.84,katla
6.54,31.0,5.8,katla
6.5,30.74,5.8,katla
6.53,30.69,5.46,katla
6.46,30.59,5.69,katla
6.6,30.58,5.61,katla
6.47,30.85,5.38,katla
6.46,31.01,5.33,katla
6.51,30.98,5.45,katla
6.45,30.83,5.65,katla
6.53,30.71,5.52,katla
6.54,30.5,5.61,katla
6.47,31.17,5.35,katla
6.41,30.51,5.51,katla
6.51,30.73,5.63,katla
6.42,30.98,5.26,katla
6.47,31.01,5.33,katla
6.48,31.3,5.38,katla
6.54,30.66,5.61,katla
6.57,30.26,5.34,katla
6.53,30.94,5.57,katla
6.47,31.03,5.47,katla
6.56,31.08,5.57,katla
6.48,30.85,5.41,katla
6.52,30.87,5.56,katla
6.6,31.26,5.43,katla
6.56,30.88,5.09,katla
6.45,30.44,5.43,katla
6.5,31.5,5.57,katla
6.49,31.25,5.06,katla
6.51,31.23,5.2,katla
6.56,31.1,5.42,katla
6.53,31.68,5.54,katla
6.51,30.86,5.33,katla
8.2,27.0,8.5,prawn
8.24,26.74,8.51,prawn
8.18,27.14,8.57,prawn
8.25,26.85,8.45,prawn
8.15,26.87,8.58,prawn
8.24,26.72,8.67,prawn
8.27,27.12,8.88,prawn
8.16,26.63,8.14,prawn
8.27,27.2,8.49,prawn
8.21,26.66,8.99,prawn
8.21,27.03,8.65,prawn
8.22,27.07,8.34,prawn
8.22,27.56,8.77,prawn
8.28,26.85,8.3,prawn
8.19,27.02,8.72,prawn
8.12,27.46,8.47,prawn
8.18,26.7,8.17,prawn
8.24,27.02,8.24,prawn
8.14,26.9,8.83,prawn
8.19,26.55,8.45,prawn
8.19,26.19,8.49,prawn
8.19,27.21,8.87,prawn
8.26,26.92,8.28,prawn
8.33,27.02,8.5,prawn
8.2,27.06,8.47,prawn
8.17,26.84,8.49,prawn
8.17,26.79,8.52,prawn
8.19,27.45,7.97,prawn
8.25,27.37,8.09,prawn
8.18,26.89,8.22,prawn
8.16,26.67,8.85,prawn
8.25,27.38,8.64,prawn
8.14,26.84,8.6,prawn
8.14,27.21,8.45,prawn
8.18,27.21,8.59,prawn
8.18,27.35,8.28,prawn
8.23,27.18,8.44,prawn
8.22,26.62,8.68,prawn
8.19,26.84,8.71,prawn
8.16,26.58,8.19,prawn
8.23,26.62,8.85,prawn
8.1,27.51,8.54,prawn
8.2,26.84,8.58,prawn
8.2,27.33,8.52,prawn
8.21,26.89,8.49,prawn
8.22,26.49,8.23,prawn
8.24,27.05,8.46,prawn
8.2,27.1,8.39,prawn
8.16,27.06,8.3,prawn
8.22,26.49,8.71,prawn
6.9,25.0,4.0,katla
6.92,25.08,4.2,katla
6.98,25.3,3.63,katla
6.84,24.81,4.01,katla
6.93,24.78,4.04,katla
6.86,24.82,3.72,katla
6.85,24.59,3.8,katla
6.95,24.72,4.53,katla
6.92,25.06,3.83,katla
6.94,24.83,4.02,katla
7.03,24.97,4.23,katla
6.86,24.99,4.35,katla
6.87,25.54,4.14,katla
6.87,25.19,4.19,katla
6.93,24.53,3.85,katla
6.89,24.98,4.12,katla
6.91,24.6,4.08,katla
6.93,25.17,4.22,katla
6.94,25.14,3.99,katla
6.82,25.13,4.04,katla
6.91,24.62,3.78,katla
6.95,24.99,4.14,katla
6.9,25.01,4.19,katla
6.87,25.03,3.91,katla
6.88,24.91,4.04,katla
6.88,25.38,3.82,katla
6.89,24.87,4.29,katla
6.91,25.31,3.7,katla
6.91,25.27,4.02,katla
6.95,24.84,4.28,katla
7.01,24.89,3.91,katla
6.97,25.47,3.9,katla
6.88,24.92,3.73,katla
6.85,24.7,3.85,katla
6.9,25.07,4.31,katla
6.85,25.3,3.96,katla
6.9,25.2,3.78,katla
6.92,25.05,4.1,katla
6.91,25.74,3.87,katla
6.87,24.81,3.89,katla
6.87,25.36,4.28,katla
6.87,24.75,4.09,katla
6.87,25.19,4.04,katla
6.82,25.46,4.36,katla
6.87,24.88,4.06,katla
6.92,25.2,4.4,katla
6.89,24.76,3.72,katla
6.86,24.99,4.36,katla
6.87,25.07,4.0,katla
6.96,25.76,3.89,katla
7.3,30.0,4.0,katla
7.28,30.31,4.14,katla
7.39,30.18,3.93,katla
7.33,30.33,4.16,katla
7.33,30.32,4.23,katla
7.37,30.19,3.97,katla
7.31,30.36,3.84,katla
7.32,29.88,4.01,katla
7.36,30.06,4.01,katla
7.23,30.22,4.13,katla
7.41,29.91,4.04,katla
7.31,30.47,3.98,katla
7.31,30.18,4.04,katla
7.28,30.06,4.21,katla
7.25,30.04,3.86,katla
7.36,29.54,3.89,katla
7.32,30.47,3.99,katla
7.27,30.56,3.71,katla
7.19,30.13,3.9,katla
7.25,30.21,4.05,katla
7.27,29.62,4.17,katla
7.33,29.97,4.37,katla
7.25,29.54,3.86,katla
7.3,30.07,3.95,katla
7.32,29.62,4.29,katla
7.3,30.34,4.07,katla
7.32,30.17,4.09,katla
7.33,30.4,4.04,katla
7.34,29.97,4.29,katla
7.27,30.54,3.99,katla
7.23,30.04,3.86,katla
7.34,29.8,3.91,katla
7.21,29.86,3.52,katla
7.22,30.23,4.16,katla
7.32,29.71,3.99,katla
7.3,29.65,4.3,katla
7.34,29.93,4.01,katla
7.31,29.39,3.95,katla
7.27,29.7,3.94,katla
7.39,30.19,3.89,katla
7.33,30.42,4.18,katla
7.3,29.81,4.14,katla
7.32,30.27,4.13,katla
7.35,29.84,4.26,katla
7.31,30.62,3.86,katla
7.39,30.06,3.87,katla
7.28,29.9,4.08,katla
7.33,29.83,4.0,katla
7.41,30.52,4.09,katla
7.3,30.04,4.12,katla
7.2,29.0,4.0,katla
7.15,28.92,3.67,katla
7.22,29.19,3.9,katla
7.28,28.63,3.71,katla
7.21,29.31,4.34,katla
7.18,29.32,3.99,katla
7.19,29.27,4.13,katla
7.12,29.44,4.28,katla
7.17,29.12,4.1,katla
7.21,28.83,3.87,katla
7.2,29.35,4.11,katla
7.18,29.23,3.43,katla
7.26,28.48,3.93,katla
7.14,28.61,4.23,katla
7.18,29.1,3.99,katla
7.22,29.02,3.74,katla
7.25,28.85,3.69,katla
7.18,29.45,4.17,katla
7.18,28.9,3.94,katla
7.3,29.11,4.09,katla
7.25,29.07,3.95,katla
7.19,28.98,3.99,katla
7.24,29.02,4.15,katla
7.2,29.02,3.6,katla
7.25,29.1,4.2,katla
7.06,29.63,3.97,katla
7.26,28.69,4.12,katla
7.15,28.81,4.38,katla
7.19,29.07,4.17,katla
7.22,29.05,4.07,katla
7.32,28.98,4.04,katla
7.25,29.33,4.24,katla
7.23,28.66,4.33,katla
7.14,29.09,3.85,katla
7.2,29.1,4.06,katla
7.22,29.48,4.09,katla
7.19,29.29,4.24,katla
7.14,29.18,4.14,katla
7.19,29.41,3.97,katla
7.21,28.95,4.0,katla
7.15,28.57,4.32,katla
7.16,28.7,3.57,katla
7.17,28.6,4.33,katla
7.25,28.79,4.45,katla
7.25,28.9,3.5,katla
7.31,28.58,3.67,katla
7.25,29.73,4.28,katla
7.23,29.18,4.17,katla
7.24,29.08,4.02,katla
7.2,28.77,3.94,katla
7.5,32.0,4.0,katla
7.42,31.97,3.8,katla
7.44,32.05,4.28,katla
7.55,31.53,3.8,katla
7.55,31.71,3.96,katla
7.53,31.71,4.02,katla
7.43,31.82,4.06,katla
7.42,32.13,4.0,katla
7.53,32.07,4.27,katla
7.51,31.87,4.02,katla
7.53,32.01,4.01,katla
7.46,31.8,3.72,katla
7.59,31.63,3.86,katla
7.46,32.27,3.94,katla
7.56,31.8,4.06,katla
7.46,32.64,3.76,katla
7.52,32.19,4.08,katla
7.49,31.96,4.01,katla
7.49,32.29,4.44,katla
7.47,31.59,3.98,katla
7.63,31.76,4.33,katla
7.58,31.83,4.11,katla
7.58,31.89,3.96,katla
7.47,31.7,3.87,katla
7.44,32.01,3.85,katla
7.51,31.53,4.07,katla
7.54,31.4,4.07,katla
7.56,31.64,4.33,katla
7.52,31.79,3.99,katla
7.53,32.02,4.11,katla
7.45,32.05,3.72,katla
7.49,31.73,3.85,katla
7.56,32.33,4.12,katla
7.45,31.91,4.24,katla
7.51,32.7,4.08,katla
7.51,31.91,4.03,katla
7.49,32.21,4.19,katla
7.46,31.6,3.63,katla
7.53,31.67,3.57,katla
7.52,32.75,4.0,katla
7.54,32.02,3.98,katla
7.55,31.91,4.05,katla
7.52,31.8,4.2,katla
7.49,31.77,4.11,katla
7.46,32.01,4.0,katla
7.55,32.14,3.99,katla
7.54,32.42,4.11,katla
7.5,31.61,3.79,katla
7.48,31.82,3.96,katla
7.5,32.16,3.99,katla
7.7,22.0,6.0,rui
7.72,22.02,5.6,rui
7.65,21.96,5.76,rui
7.73,22.46,6.24,rui
7.69,22.45,6.03,rui
7.68,21.82,5.94,rui
7.68,22.05,6.03,rui
7.7,22.13,6.24,rui
7.75,21.55,5.49,rui
7.75,21.59,5.96,rui
7.64,21.46,6.11,rui
7.74,21.83,5.48,rui
7.67,22.12,5.7,rui
7.71,22.0,6.12,rui
7.71,21.71,6.24,rui
7.69,21.99,5.81,rui
7.68,21.73,5.97,rui
7.79,21.59,5.68,rui
7.77,21.94,5.87,rui
7.75,21.82,6.37,rui
7.73,21.85,6.43,rui
7.67,22.22,6.06,rui
7.77,22.47,6.01,rui
7.66,22.14,5.86,rui
7.8,22.04,5.93,rui
7.71,21.6,5.81,rui
7.76,21.8,5.79,rui
7.73,22.36,6.14,rui
7.75,21.77,5.72,rui
7.78,21.9,5.95,rui
7.77,22.17,6.09,rui
7.81,21.81,6.19,rui
7.7,22.08,6.31,rui
7.73,22.16,6.21,rui
7.68,21.75,5.79,rui
7.6,22.62,5.78,rui
7.69,21.92,6.06,rui
7.74,22.26,5.88,rui
7.69,22.08,5.95,rui
7.78,22.15,6.15,rui
7.73,22.35,6.04,rui
7.64,22.12,5.87,rui
7.67,22.18,6.25,rui
7.7,22.09,6.34,rui
7.71,22.78,6.11,rui
7.61,22.23,6.08,rui
7.76,22.2,5.97,rui
7.64,21.94,5.83,rui
7.67,22.18,6.33,rui
7.72,21.64,6.09,rui
7.9,29.0,5.5,rui
7.96,28.82,5.47,rui
7.9,28.76,5.63,rui
7.89,29.13,5.32,rui
7.88,29.22,5.43,rui
7.99,28.88,5.54,rui
7.95,28.57,5.15,rui
7.82,29.38,5.39,rui
8.03,28.83,5.54,rui
7.98,29.6,5.91,rui
7.96,29.31,5.62,rui
7.94,28.83,5.34,rui
7.9,28.95,5.41,rui
7.93,29.29,5.52,rui
7.97,28.66,5.46,rui
7.86,28.44,5.48,rui
7.89,29.45,5.63,rui
7.85,29.56,5.74,rui
7.93,28.93,5.31,rui
7.88,29.33,5.88,rui
7.98,28.85,5.28,rui
7.91,28.47,5.56,rui
7.89,28.86,5.18,rui
7.93,28.84,5.27,rui
7.76,28.99,5.85,rui
7.98,28.86,5.38,rui
7.92,28.7,5.56,rui
7.94,29.37,5.48,rui
7.89,28.74,5.33,rui
7.89,29.11,5.68,rui
7.86,29.45,5.45,rui
7.9,28.78,5.02,rui
7.94,29.22,5.44,rui
7.9,29.15,5.19,rui
7.87,29.24,5.25,rui
7.91,28.59,5.59,rui
7.9,28.52,5.73,rui
7.86,28.76,5.54,rui
7.96,28.7,5.51,rui
7.92,29.21,5.54,rui
7.88,28.75,5.52,rui
7.85,28.12,5.59,rui
7.95,28.29,5.3,rui
7.93,29.62,5.5,rui
7.86,28.95,5.77,rui
7.87,28.76,5.4,rui
7.85,29.04,5.82,rui
7.92,28.92,5.44,rui
7.82,29.26,5.48,rui
7.89,29.96,5.56,rui
8.9,27.0,7.5,rui
8.86,26.87,7.73,rui
8.91,26.57,7.68,rui
8.87,27.56,7.72,rui
8.88,27.38,7.51,rui
8.94,27.15,7.33,rui
8.87,27.31,7.43,rui
8.88,26.71,7.58,rui
9.0,26.68,7.5,rui
8.97,26.98,7.59,rui
8.85,27.13,7.46,rui
8.95,27.36,8.02,rui
8.93,27.1,7.54,rui
8.88,27.1,7.44,rui
8.91,27.4,7.3,rui
8.96,27.4,7.48,rui
8.79,26.82,7.76,rui
8.9,26.7,7.4,rui
8.94,27.16,7.45,rui
8.88,26.88,7.32,rui
8.98,26.9,7.74,rui
8.98,27.3,7.41,rui
8.92,26.99,7.32,rui
8.92,26.65,7.74,rui
8.88,27.06,7.56,rui
8.89,27.18,7.41,rui
8.94,26.6,7.53,rui
9.0,26.7,7.36,rui
8.93,27.05,7.57,rui
8.92,27.19,7.72,rui
8.92,26.93,7.63,rui
8.99,26.96,7.31,rui
8.96,26.96,7.07,rui
8.94,26.84,7.48,rui
8.92,27.06,7.64,rui
8.88,27.15,7.45,rui
8.94,27.18,7.31,rui
8.95,26.84,7.66,rui
8.92,27.55,7.46,rui
8.88,26.99,7.44,rui
8.94,26.52,7.29,rui
8.85,27.29,7.84,rui
8.89,26.95,7.51,rui
8.96,26.72,7.55,rui
8.95,27.15,7.54,rui
8.95,26.19,7.64,rui
8.87,26.45,7.6,rui
8.97,26.96,7.69,rui
8.98,27.39,7.83,rui
8.94,27.02,7.18,rui
8.8,30.0,6.8,rui
8.79,29.75,7.23,rui
8.79,30.04,6.91,rui
8.8,30.51,6.68,rui
8.81,29.78,6.54,rui
8.77,29.99,6.71,rui
8.77,29.58,6.78,rui
8.72,30.23,6.82,rui
8.73,29.91,6.65,rui
8.82,30.4,6.42,rui
8.81,29.95,6.93,rui
8.81,29.77,6.74,rui
8.76,30.32,6.8,rui
8.9,29.98,6.66,rui
8.72,29.46,6.48,rui
8.81,30.15,6.48,rui
8.84,29.86,6.83,rui
8.88,30.27,6.75,rui
8.76,29.35,6.66,rui
8.79,29.7,6.77,rui
8.8,29.93,6.67,rui
8.81,30.13,6.58,rui
8.87,29.97,6.8,rui
8.84,30.07,6.99,rui
8.81,29.82,6.87,rui
8.74,30.03,6.79,rui
8.79,29.96,6.42,rui
8.77,30.03,6.83,rui
8.75,30.38,6.63,rui
8.85,30.13,6.67,rui
8.89,29.64,6.98,rui
8.85,29.8,7.08,rui
8.79,30.09,6.85,rui
8.79,30.24,6.96,rui
8.71,30.39,6.47,rui
8.85,30.34,6.58,rui
8.78,29.67,6.76,rui
8.78,30.23,7.06,rui
8.87,29.83,6.76,rui
8.72,29.76,6.99,rui
8.88,29.63,6.68,rui
8.8,30.08,6.64,rui
8.82,29.86,6.8,rui
8.83,30.0,6.71,rui
8.79,29.97,6.73,rui
8.79,30.48,6.91,rui
8.79,30.21,6.73,rui
8.86,30.11,6.78,rui
8.82,29.53,6.57,rui
8.74,30.04,7.15,rui
8.4,25.0,5.0,rui
8.51,25.19,5.1,rui
8.31,24.84,4.84,rui
8.37,24.95,4.91,rui
8.3,25.22,4.79,rui
8.41,25.62,4.82,rui
8.27,24.91,5.22,rui
8.5,24.63,5.1,rui
8.38,24.97,5.53,rui
8.32,25.08,5.09,rui
8.45,25.03,5.06,rui
8.38,25.08,4.93,rui
8.43,24.89,5.08,rui
8.4,25.34,4.99,rui
8.31,25.38,4.82,rui
8.37,24.82,5.27,rui
8.29,25.94,5.21,rui
8.41,24.98,5.06,rui
8.43,25.19,5.11,rui
8.4,24.94,4.97,rui
8.39,25.34,5.12,rui
8.25,25.2,5.04,rui
8.4,24.88,5.22,rui
8.45,24.77,5.08,rui
8.35,24.59,4.87,rui
8.44,25.29,5.1,rui
8.44,25.15,4.87,rui
8.42,25.24,5.15,rui
8.46,25.21,5.07,rui
8.45,24.99,4.82,rui
8.39,24.78,4.86,rui
8.39,24.76,4.94,rui
8.31,25.06,5.0,rui
8.36,25.2,5.19,rui
8.32,24.77,4.85,rui
8.35,25.25,4.96,rui
8.39,24.4,5.13,rui
8.34,25.02,5.06,rui
8.47,24.61,4.4,rui
8.41,25.54,5.25,rui
8.41,24.85,5.16,rui
8.35,25.14,5.1,rui
8.45,25.83,5.08,rui
8.37,24.99,4.65,rui
8.37,24.88,4.9,rui
8.41,24.75,5.22,rui
8.4,25.0,4.93,rui
8.41,25.25,4.83,rui
8.37,24.91,4.73,rui
8.36,24.86,5.17,rui
6.1,31.0,4.9,rui
6.11,31.06,5.07,rui
6.09,31.12,4.88,rui
6.11,30.83,4.41,rui
6.09,31.43,5.09,rui
6.15,31.37,4.92,rui
6.11,30.81,4.84,rui
6.13,31.36,4.87,rui
6.08,31.0,5.02,rui
6.03,30.31,4.79,rui
6.04,30.85,4.87,rui
6.08,31.44,4.97,rui
6.12,31.19,4.67,rui
6.15,30.98,5.03,rui
6.05,30.53,5.06,rui
6.12,30.73,4.73,rui
6.16,30.64,5.23,rui
6.05,31.19,4.83,rui
6.13,30.84,4.87,rui
6.1,30.7,5.05,rui
6.07,30.93,4.7,rui
5.97,30.94,5.38,rui
6.14,30.99,4.85,rui
6.1,31.16,4.66,rui
6.16,31.21,5.04,rui
6.12,31.01,5.03,rui
6.13,30.89,4.79,rui
6.11,31.46,4.65,rui
6.03,31.05,4.91,rui
6.11,31.07,4.86,rui
6.17,30.52,4.73,rui
6.09,30.51,4.86,rui
6.18,31.01,4.95,rui
6.04,30.82,4.82,rui
6.08,31.38,5.01,rui
6.04,31.07,5.0,rui
6.16,31.47,4.7,rui
6.06,30.62,4.85,rui
6.12,31.3,4.88,rui
6.08,31.05,4.73,rui
6.2,30.52,4.94,rui
6.2,31.0,4.86,rui
6.08,30.95,5.17,rui
5.99,31.46,4.62,rui
6.09,30.87,5.02,rui
6.02,31.14,5.3,rui
6.03,31.06,4.77,rui
6.12,31.01,4.77,rui
6.12,31.54,4.86,rui
6.14,30.61,4.71,rui
5.5,18.0,5.0,koi
5.52,18.45,5.07,koi
5.48,18.0,4.75,koi
5.53,18.26,4.91,koi
5.48,18.08,4.91,koi
5.5,18.63,4.95,koi
5.48,17.81,5.15,koi
5.49,17.81,5.26,koi
5.57,17.82,4.63,koi
5.55,17.79,5.16,koi
5.4,18.27,4.76,koi
5.54,18.0,4.81,koi
5.48,18.21,5.02,koi
5.53,18.59,4.69,koi
5.58,18.03,4.82,koi
5.43,17.94,5.18,koi
5.49,18.45,4.71,koi
5.5,17.62,5.07,koi
5.54,17.87,4.48,koi
5.51,18.13,5.08,koi
5.56,17.68,5.14,koi
5.56,17.47,5.06,koi
5.47,17.98,5.07,koi
5.48,17.8,5.01,koi
5.45,17.67,5.14,koi
5.44,18.2,5.09,koi
5.41,17.8,5.24,koi
5.45,17.86,5.09,koi
5.54,17.92,4.88,koi
5.57,18.52,5.2,koi
5.5,17.76,4.83,koi
5.53,18.13,5.28,koi
5.53,17.55,5.21,koi
5.45,17.88,5.05,koi
5.6,18.93,5.12,koi
5.49,18.16,5.18,koi
5.48,18.54,5.05,koi
5.52,18.2,5.08,koi
5.54,17.81,4.89,koi
5.44,18.13,5.16,koi
5.52,18.5,5.0,koi
5.53,17.67,4.92,koi
5.53,18.25,4.94,koi
5.5,17.54,4.93,koi
5.54,18.17,5.1,koi
5.5,18.0,4.87,koi
5.53,18.13,5.1,koi
5.47,17.35,5.22,koi
5.48,17.74,5.14,koi
5.48,18.32,5.12,koi
7.1,23.0,5.5,koi
7.13,22.59,5.74,koi
7.11,22.89,5.53,koi
7.01,23.12,5.29,koi
7.03,22.54,5.72,koi
7.07,23.46,5.39,koi
7.01,22.67,5.75,koi
7.09,22.84,5.53,koi
7.13,23.34,5.79,koi
7.08,22.6,5.42,koi
7.11,22.71,5.31,koi
7.12,22.99,5.51,koi
7.06,22.93,5.32,koi
7.14,23.31,5.13,koi
7.05,22.55,5.37,koi
7.1,22.57,5.32,koi
7.05,23.06,5.51,koi
7.06,23.05,5.39,koi
7.09,23.5,5.77,koi
7.04,23.25,5.66,koi
7.04,23.25,5.81,koi
7.04,22.72,5.7,koi
7.11,23.17,5.57,koi
7.12,22.6,5.71,koi
7.16,22.93,5.49,koi
7.02,23.15,5.61,koi
7.1,23.34,5.43,koi
7.13,22.69,5.5,koi
7.09,23.07,5.43,koi
7.09,23.25,5.41,koi
7.02,23.52,5.78,koi
7.04,23.21,5.4,koi
7.11,23.09,5.45,koi
7.06,22.79,5.32,koi
7.06,22.98,5.36,koi
7.13,23.45,5.38,koi
7.11,23.15,5.59,koi
7.1,23.22,5.6,koi
7.04,23.26,5.68,koi
7.06,23.01,5.64,koi
7.09,23.32,5.97,koi
7.06,22.59,5.56,koi
7.14,22.93,5.79,koi
7.03,23.21,5.38,koi
7.19,23.6,5.35,koi
7.07,23.26,5.42,koi
7.1,23.01,5.12,koi
7.1,22.79,5.4,koi
7.17,22.62,5.66,koi
7.09,22.92,5.66,koi
6.2,19.0,6.1,koi
6.22,19.17,6.29,koi
6.18,18.82,5.88,koi
6.16,19.88,6.35,koi
6.13,18.6,6.2,koi
6.23,19.16,6.05,koi
6.19,19.1,6.12,koi
6.09,18.93,5.93,koi
6.21,19.9,6.17,koi
6.18,19.28,6.2,koi
6.22,19.18,6.51,koi
6.14,19.14,5.91,koi
6.23,18.72,6.02,koi
6.19,19.29,6.28,koi
6.14,19.02,5.96,koi
6.14,18.93,6.04,koi
6.32,19.13,5.82,koi
6.17,19.31,6.52,koi
6.12,18.44,6.47,koi
6.22,18.74,6.21,koi
6.07,19.0,6.17,koi
6.25,18.7,6.12,koi
6.15,19.08,5.92,koi
6.18,18.7,6.23,koi
6.24,18.93,6.11,koi
6.13,18.91,6.09,koi
6.33,18.67,6.39,koi
6.25,19.08,6.45,koi
6.22,19.12,6.09,koi
6.26,19.33,5.97,koi
6.13,18.94,5.94,koi
6.2,19.37,6.01,koi
6.2,19.02,6.27,koi
6.09,18.82,6.14,koi
6.26,18.85,5.72,koi
6.23,18.81,5.86,koi
6.17,18.94,5.98,koi
6.09,19.27,6.35,koi
6.23,18.66,6.06,koi
6.2,19.18,6.23,koi
6.16,19.02,6.19,koi
6.27,19.21,6.26,koi
6.2,19.42,6.18,koi
6.16,19.42,6.24,koi
6.18,18.86,6.16,koi
6.22,19.06,6.16,koi
6.28,19.32,6.14,koi
6.25,18.69,6.18,koi
6.29,18.93,5.93,koi
6.17,18.67,5.94,koi
6.8,22.0,5.9,koi
6.78,21.58,5.9,koi
6.85,21.73,6.2,koi
6.83,22.31,5.77,koi
6.84,21.67,6.08,koi
6.81,22.17,5.66,koi
6.76,22.18,5.71,koi
6.82,21.59,6.07,koi
6.74,22.17,6.03,koi
6.77,22.17,5.95,koi
6.77,21.7,5.51,koi
6.82,21.53,5.92,koi
6.79,22.2,5.84,koi
6.78,22.22,5.97,koi
6.82,22.14,5.59,koi
6.84,22.18,5.7,koi
6.79,21.99,5.87,koi
6.82,22.43,6.12,koi
6.73,22.19,6.17,koi
6.82,22.33,6.3,koi
6.85,22.07,6.11,koi
6.81,22.01,5.83,koi
6.88,21.75,6.21,koi
6.82,21.58,5.97,koi
6.69,22.19,6.08,koi
6.77,22.04,6.29,koi
6.77,21.68,6.2,koi
6.9,22.0,6.1,koi
